index	emotion
1		6
2		6
3		6
4		0
5		0
6		0
7		0
9		1
10		1
11		1
13		1
14		2
15		2
16		2
17		3
18		3
19		3
20		4
22		4
23		6
24		6
25		6
26		6
27		6
28		6
29		0
30		0
31		0
32		0
33		1
34		1
35		1
36		2
37		2
38		2
39		3
40		3
41		4
42		4
43		4
44		4
45		5
46		4
47		2
48		2
49		6
50		6
51		6
52		0
54		0
55		1
56		1
57		1
58		2
59		2
60		2
61		3
62		3
63		3
64		4
65		4
66		4
67		1
68		5
69		6
70		2
71		6
72		6
73		6
74		0
75		0
77		1
78		1
79		1
80		2
81		2
82		2
83		3
84		3
85		3
86		4
87		4
88		3
89		2
90		2
91		6
92		6
93		0
94		0
95		0
96		0
97		0
98		1
99		6
100		1
101		2
102		2
103		2
104		6
105		6
106		6
107		6
109		6
110		6
111		2
112		2
113		6
114		0
115		6
116		0
117		0
118		0
119		1
120		1
121		1
122		2
123		2
124		2
125		3
126		4
127		4
128		4
129		4
130		4
131		5
132		2
133		5
134		6
135		6
136		6
137		0
138		0
139		0
140		1
141		1
142		1
143		2
144		2
145		2
146		3
147		3
148		3
149		4
150		4
151		4
152		6
153		6
154		6
155		2
156		6
157		2
158		0
159		0
160		0
161		1
162		1
163		1
164		2
165		2
166		2
167		3
168		3
169		4
170		4
171		4
172		4
173		4
174		4
175		4
176		4
177		6
178		0
179		0
180		0
181		0
182		0
184		1
185		1
186		1
187		2
188		2
189		2
190		3
191		3
192		3
193		4
194		4
195		4
196		4
197		4
198		4
199		6
200		6
201		6
202		0
203		0
204		0
205		1
206		1
207		6
208		0
209		2
210		2
211		3
212		3
213		3
214		4
215		4
216		3
217		6
218		6
219		6
